Serial No,Star_name,Distance,Mass,Radius,Discovery Year,Constellation
190,WISE 0015,48.6,,,2010,Phoenix
191,WISE 0031,71.8,,,2010,Sculptor
192,WISE 0032,62.9,,,2010,Phoenix
193,WISE 0038,36.9,,,2010,Andromeda
194,WISE 0038,101.8,,,2010,Cepheus
195,WISE 0040,47.6,,,2010,Pisces
196,WISE 0049,62.6,,,2010,Pisces
197,WISE 0049,24.1,,,2010,Andromeda
198,WISE 0106,142.9,,,2010,Pisces
199,WISE 0123,67.2,,,2010,Andromeda
200,WISE 0135,77.3,,,2010,Pisces
201,WISE 0138,57.7,,,2010,Cetus
202,WISE 0146,20.5,,,2010,Andromeda
203,WISE 0148,30,,,2010,Hydrus
204,WISE 0150,61.3,,,2010,Andromeda
205,WISE 0206,58.4,,,2010,Aries
206,WISE 0221,73.1,,,2010,Andromeda
207,WISE 0223,47,,,2010,Fornax
208,WISE 0226,91,,,2010,Cetus
209,WISE 0241,53.8,,,2010,Fornax
210,WISE 0245,56.1,,,2010,Fornax
211,WISE 0247,57.1,,,2010,Perseus
212,WISE 0305,75,,,2010,Perseus
213,WISE 0307,82.8,,,2010,Aries
214,WISE 0313,28,,,2010,Cepheus
215,WISE 0316,106.3,,,2010,Perseus
216,WISE 0321,84.8,,,2010,Hydrus
217,WISE 0323,45.3,,,2010,Reticulum
218,WISE 0325,51.2,,,2010,Fornax
219,WISE 0325,36.5,,,2010,Taurus
220,WISE 0333,54.8,,,2010,Reticulum
221,WISE 0335,45.7,,,2010,Perseus
222,WISE 0336,55.4,,,2010,Eridanus
223,WISE 0350,17.7,,,2010,Reticulum
224,WISE 0359,19.2,,,2010,Reticulum
225,WISE 0410,20,6,1.17,2010,Taurus
226,WISE 0410,85.8,,,2010,Taurus
227,WISE 0413,66.2,,,2010,Horologium
228,WISE 0448,69.8,,,2010,Eridanus
229,WISE 0458+,35.9,15,4.2,2010,Camelopardalis
230,WISE 0458+,35.9,10,3.8,2010,Camelopardalis
231,WISE 0500,47,,,2010,Eridanus
232,WISE 0513,44.7,,,2010,Orion
233,WISE 0525,98.2,,,2010,Camelopardalis
234,WISE 0528,57.4,,,2010,Columba
235,WISE 0535,47,,,2010,Mensa
236,WISE 0539,84.8,,,2010,Orion
237,WISE 0542,50.6,,,2010,Lepus
238,WISE 0607,25.4,,,2010,Gemini
239,WISE 0611,57.7,,,2010,Monoceros
240,WISE 0612,95.2,,,2010,Puppis
241,WISE 0612,64.9,,,2010,Canis Major
242,WISE 0614,50.2,,,2010,Auriga
243,WISE 0614,51.5,,,2010,Orion
244,WISE 0623,37.5,,,2010,Monoceros
245,WISE 0625,67.2,,,2010,Lynx
246,WISE 0627,37.2,,,2010,Canis Major
247,WISE 0647,28,,,2010,Pictor
248,WISE 0656,54.1,,,2010,Auriga
249,WISE 0713,23.2,,,2010,Canis Major
250,WISE 0723,45.7,,,2010,Gemini
251,WISE 0733,78.3,,,2010,Camelopardalis
252,WISE 0734,34.9,,,2010,Volans
253,WISE 0744,47.3,,,2010,Lynx
254,WISE 0750,51.5,,,2010,Gemini
255,WISE 0751,39.1,,,2010,Chamaeleon
256,WISE 0759,38.8,,,2010,Puppis
257,WISE 0811,32,,,2010,Chamaeleon
258,WISE 0812,63.6,,,2010,Lynx
259,WISE 0819,46,,,2010,Hydra
260,WISE 0821,68.2,,,2010,Ursa Major
261,WISE 0836,72.4,,,2010,Pyxis
262,WISE 0857,42.1,,,2010,Ursa Major
263,WISE 0906,51.5,,,2010,Ursa Major
264,WISE 0929,64.9,,,2010,Hydra
265,WISE 0952,72.1,,,2010,Leo
266,WISE 1018,47.6,,,2010,Hydra
267,WISE 1019,56.8,,,2010,Ursa Major
268,WISE 1039,47.3,,,2010,Hydra
269,WISE 1042,53.2,,,2010,Antlia
270,WISE 1051,40.8,,,2010,Hydra
271,WISE 1122,57.7,,,2010,Leo
272,WISE 1124,50.6,,,2010,Leo
273,WISE 1147,102,,,2010,Hydra
274,WISE 1150,32.9,,,2010,Ursa Major
275,WISE 1217+,34.2,12,,2010,Coma Berenices
276,WISE 1217+,34.2,6,,2010,Coma Berenices
277,WISE 1225,55.4,,,2010,Virgo
278,WISE 1311,44.4,,,2010,Virgo
279,WISE 1311,86.1,,,2010,Canes Venatici
280,WISE 1318,32.9,,,2010,Virgo
281,WISE 1320,56.1,,,2010,Ursa Major
282,WISE 1322,33.9,,,2010,Hydra
283,WISE 1348,91,,,2010,Draco
284,WISE 1405,25.3,30,0.86,2010,Ursa Major
285,WISE 1433,84.8,,,2010,Libra
286,WISE 1436,60,,,2010,Libra
287,WISE 1457,52.2,,,2010,Draco
288,WISE 1506,11.1,,,2010,Ursa Minor
289,WISE 1517,72.4,,,2010,Serpens
290,WISE 1519,50.9,,,2010,Ursa Minor
291,WISE 1523,84.5,,,2010,Corona Borealis
292,WISE 1541,20,,,2010,Libra
293,WISE 1542,41.1,,,2010,Serpens
294,WISE 1612,55.4,,,2010,Scorpius
295,WISE 1614,32.6,,,2010,Hercules
296,WISE 1617,50.2,,,2010,Hercules
297,WISE 1622,52.2,,,2010,Scorpius
298,WISE 1627,50.2,,,2010,Hercules
299,WISE 1639,16.3,,,2010,Triangulum Australe
300,WISE 1647,28,,,2010,Draco
301,WISE 1653,39.5,,,2010,Hercules
302,WISE 1711,60.3,,,2010,Hercules
303,WISE 1717,72.7,,,2010,Draco
304,WISE 1721,62.3,,,2010,Ophiuchus
305,WISE 1728,97.8,,,2010,Draco
306,WISE 1738,20,,,2010,Hercules
307,WISE 1741,18.9,,,2010,Hercules
308,WISE 1746,83.8,,,2010,Ophiuchus
309,WISE 1800,28.7,57,,2010,Ophiuchus
310,WISE 1804,30,,,2010,Hercules
311,WISE 1809,74.4,,,2010,Hercules
312,WISE 1812,47,,,2010,Hercules
313,WISE 1828,36,,,2010,Lyra
314,WISE 1830,107,,,2010,Lyra
315,WISE 1841,131.1,,,2010,Draco
316,WISE 1852,55.4,,,2010,Lyra
317,WISE 1906,51.5,,,2010,Lyra
318,WISE 1928,22.8,,,2010,Vulpecula
319,WISE 1952,44.4,,,2010,Draco
320,WISE 1959,37.2,,,2010,Sagittarius
321,WISE 2030,34.2,,,2010,Delphinus
322,WISE 2014,96.2,,,2010,Aquila
323,WISE 2015,50.6,,,2010,Draco
324,WISE 2018,47.9,,,2010,Pavo
325,WISE 2019,42.4,,,2010,Capricornus
326,WISE 2056,24.5,,,2010,Delphinus
327,WISE 2134,42.7,,,2010,Indus
328,WISE 2157,61.6,,,2010,Pegasus
329,WISE 2209,46,,,2010,Piscis Austrinus
330,WISE 2213,58.7,,,2010,Pegasus
331,WISE 2220,26.4,,,2010,Grus
332,WISE 2226,45,,,2010,Pegasus
333,WISE 2237,53.5,,,2010,Aquarius
334,WISE 2237,46,,,2010,Cepheus
335,WISE 2239,59.7,,,2010,Pegasus
336,WISE 2255,44.7,,,2010,Piscis Austrinus
337,WISE 2301,60.7,,,2010,Pisces
338,WISE 2313,35.9,,,2010,Octans
339,WISE 2319,52.2,,,2010,Aquarius
340,WISE 2325,37.5,,,2010,Grus
